Question,Option_1,Option_2,Option_3,Option_4,Correct_Option,Topic,Subtopic,Difficulty_Level
A car accelerates uniformly from rest at 4 m/s. What is its velocity after 3 seconds?,12 m/s,15 m/s,9 m/s,8 m/s,Option_1,Mechanics,Kinematics,Medium
Calculate the gravitational force between two masses of 5 kg each separated by a distance of 2 m (G = 6.674 x 10^-11 N m/kg).,8.34 x 10^-10 N,6.67 x 10^-11 N,3.34 x 10^-10 N,1.67 x 10^-9 N,Option_1,Gravitation,Newton's Law of Gravitation,Medium
A solid sphere rolls down an inclined plane. What is the relationship between its linear and angular velocities?,v = r,v = 2r,v = r/2,v = r,Option_1,Properties of Matter,Motion of Rigid Body,Easy
What is the amount of work done in moving a charge of 2 C across two points with a potential difference of 12 V?,24 J,6 J,12 J,18 J,Option_1,Electrostatics,Electric Potential,Easy
"In an SHM, if the amplitude is doubled, what happens to the total energy of the system?",Doubles,Halves,Quadruples,Stays the same,Option_3,Oscillations and Waves,Simple Harmonic Motion,Medium
A ball is thrown vertically upwards with a velocity of 20 m/s. How long does it take to reach the maximum height? (g = 9.8 m/s),2 seconds,4 seconds,3 seconds,5 seconds,Option_2,Mechanics,Kinematics,Medium
Calculate the potential energy of a 2 kg mass raised to a height of 10 m (g = 9.8 m/s).,196 J,98 J,49 J,100 J,Option_1,Mechanics,"Work, Energy, and Power",Easy
What is the angular momentum of a 0.5 kg mass moving in a circle of radius 2 m with a velocity of 3 m/s?,3 kg m/s,6 kg m/s,1.5 kg m/s,0.5 kg m/s,Option_2,Properties of Matter,Motion of Particles,Medium
What is the pressure exerted by a 1 kg object on a surface area of 0.5 m?,19.6 Pa,9.8 Pa,39.2 Pa,4.9 Pa,Option_1,Properties of Matter,Pressure,Easy
Calculate the total heat absorbed when a substance of mass 2 kg undergoes a temperature rise of 10C (specific heat capacity = 420 J/kgC).,8400 J,4200 J,2100 J,10500 J,Option_1,Thermodynamics and Kinetic Theory,Thermodynamics,Medium
What is the escape velocity of an object on Earth? (Take g = 9.8 m/s and Earth's radius = 6.4 x 10^6 m),11.2 km/s,5.6 km/s,8.9 km/s,13.3 km/s,Option_1,Mechanics,Gravitation,Medium
A spring has a force constant of 200 N/m. Calculate the potential energy when it is compressed by 0.1 m.,1 J,2 J,0.5 J,0.1 J,Option_1,Properties of Matter,Elasticity,Medium
Calculate the final temperature when 100 g of water at 20C is mixed with 200 g of water at 60C.,40C,45C,50C,55C,Option_3,Thermodynamics and Kinetic Theory,Thermal Equilibrium,Medium
A capacitor of 10 F is charged to a potential of 100 V. Calculate the energy stored in the capacitor.,0.05 J,0.5 J,5 J,1 J,Option_1,Electrostatics,Capacitance,Easy
An object is placed 15 cm in front of a convex mirror with a focal length of 10 cm. Determine the image distance.,6 cm,-6 cm,10 cm,-10 cm,Option_2,Optics,Ray Optics,Medium
