Question,Option_1,Option_2,Option_3,Option_4,Correct_Option,Topic,Subtopic,Difficulty_Level
What is the molarity of a solution containing 1 mole of solute in 1 liter of solution?,1 M,0.5 M,2 M,3 M,Option_1,Basic Concepts and Atomic Structure,Molarity Calculation,Easy
Which element has an atomic number of 17?,Chlorine,Argon,Oxygen,Carbon,Option_1,Classification and Bonding,Atomic Number,Easy
Calculate the pH of a solution with [H] concentration of 1 x 10 M.,3,5,7,10,Option_1,Acids and Bases,pH Calculation,Medium
What is the main product formed when ethyl alcohol reacts with acetic acid?,Ethyl acetate,Ethanol,Acetic acid,Acetone,Option_1,Organic Chemistry,Esterification,Medium
"In the periodic table, elements in Group 1 are known as what?",Alkali metals,Transition metals,Noble gases,Halogens,Option_1,Classification of Elements,Group Classification,Easy
What is the electronic configuration of an oxygen atom?,1s 2s 2p,1s 2s 2p,1s 2s 2p,1s 2s 2p,Option_1,Basic Concepts and Atomic Structure,Electronic Configuration,Easy
Which element has the highest electronegativity in the periodic table?,Fluorine,Oxygen,Nitrogen,Chlorine,Option_1,Classification and Bonding,Periodic Properties,Easy
Calculate the enthalpy change for a reaction where 3 moles of a substance release 600 kJ of energy.,-200 kJ,-600 kJ,-300 kJ,-150 kJ,Option_1,Thermodynamics,Enthalpy,Medium
What is the pH of a solution with a hydrogen ion concentration of 1 x 10 M?,4,3,5,6,Option_1,Acids and Bases,pH Calculation,Medium
Identify the type of reaction: 2K + 2HO  2KOH + H.,Single Displacement,Double Displacement,Synthesis,Decomposition,Option_1,Chemical Reactions,Reaction Types,Easy
What is the molecular formula of butane?,CH,CH,CH,CH,Option_1,Organic Chemistry,Hydrocarbons,Easy
Which type of bond is present between atoms in an oxygen molecule (O)?,Double covalent bond,Single covalent bond,Ionic bond,Triple covalent bond,Option_1,Bonding,Bond Types,Easy
Identify the coordination number of cobalt in [Co(NH)].,6,4,8,3,Option_1,Inorganic Chemistry,Coordination Compounds,Medium
What is the enthalpy of formation of water? (Hf = -286 kJ/mol),-286 kJ/mol,-572 kJ/mol,-143 kJ/mol,-573 kJ/mol,Option_1,Thermodynamics,Enthalpy,Medium
Which of the following compounds is a primary alcohol?,Ethanol,Methanol,Isopropanol,Phenol,Option_2,Organic Chemistry,Alcohols and Phenols,Easy
What is the oxidation number of sulfur in HSO?,6,4,2,8,Option_1,Redox Reactions,Oxidation States,Easy
"Calculate the energy of a photon with a wavelength of 500 nm. (h = 6.63 x 10^-34 Js, c = 3 x 10^8 m/s)",3.97 x 10^-19 J,2.48 x 10^-19 J,1.98 x 10^-19 J,5.96 x 10^-19 J,Option_1,Atomic Structure,Photon Energy,Medium
Identify the major product of the reaction between ethene and bromine.,"1,2-Dibromoethane","1,1-Dibromoethane",Bromoethene,Ethanol,Option_1,Organic Chemistry,Addition Reactions,Easy
Which element is considered the most reactive halogen?,Fluorine,Chlorine,Bromine,Iodine,Option_1,Inorganic Chemistry,Periodic Trends,Easy
Calculate the molar mass of CaCO.,100 g/mol,150 g/mol,200 g/mol,250 g/mol,Option_1,Mole Concept,Molar Mass,Medium
What is the molecular formula of benzene?,CH,CH,CH,CH,Option_1,Organic Chemistry,Aromatic Hydrocarbons,Easy
Calculate the number of moles in 88 g of CO. (Molar mass of CO = 44 g/mol),2 moles,4 moles,1 mole,0.5 mole,Option_1,Mole Concept,Molar Mass Calculations,Medium
Which type of crystal structure is shown by NaCl?,Cubic,Hexagonal,Orthorhombic,Tetragonal,Option_1,Inorganic Chemistry,Crystal Structures,Easy
What is the main product when ethanol is oxidized with acidified potassium dichromate?,Ethanoic acid,Ethanol,Methanol,Propanoic acid,Option_1,Organic Chemistry,Oxidation Reactions,Medium
